O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	Ba_3d_BE	Ba_3d_cps	overview_BE	overview_cps	
NaN	NaN	543.6	8194.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1036.0	7315
NaN	NaN	543.5	8126.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1035.0	7865
NaN	NaN	543.4	8098.875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1034.0	8160
NaN	NaN	543.3	8045.875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1033.0	7670
NaN	NaN	543.2	8073.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1032.0	8130
NaN	NaN	543.1	8030.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1031.0	7655
NaN	NaN	543.0	7955.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1030.0	7785
NaN	NaN	542.9	7865.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1029.0	7425
NaN	NaN	542.8	7859.875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1028.0	7590
NaN	NaN	542.7	7794.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1027.0	7345
NaN	NaN	542.6	7787.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1026.0	7520
NaN	NaN	542.5	7763.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1025.0	7470
NaN	NaN	542.4	7725.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1024.0	7715
NaN	NaN	542.3	7681.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1023.0	7495
NaN	NaN	542.2	7687.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1022.0	7650
NaN	NaN	542.1	7582.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1021.0	7510
NaN	NaN	542.0	7595.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1020.0	7530
NaN	NaN	541.9	7557.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1019.0	7520
NaN	NaN	541.8	7501.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1018.0	7675
NaN	NaN	541.7	7504.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1017.0	7570
NaN	NaN	541.6	7473.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1016.0	7545
NaN	NaN	541.5	7444.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1015.0	7375
NaN	NaN	541.4	7445.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1014.0	7280
NaN	NaN	541.3	7412.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1013.0	7375
NaN	NaN	541.2	7386.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1012.0	7260
